question,RII2000,RII2001,RIII&RIV2002,RR2006,RR2007,RR2008,RR2009,RR2012,RR2014,RR2018,conflict
(他/她)這份工作收入是按件計酬?,,,,A31A05/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是否按件計酬,a25c04/(他/她)這份工作收入是按件計酬?,a25c04/(他/她)這份工作收入是用什麼方式領的 (4) 按件計酬,a32c04/(他/她)這份工作收入是按件計酬?,,V
(他/她)這份工作收入是按件計酬?,,,,A31A05/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是否按件計酬,a25c04/(他/她)這份工作收入是按件計酬?,a25c04/(他/她)這份工作收入是用什麼方式領的 (4) 按件計酬,a32c04/(他/她)這份工作收入是按件計酬?,,V
(他/她)這份工作收入是否按件計酬,,,,A31A05/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是否按件計酬,a25c04/(他/她)這份工作收入是按件計酬?,a25c04/(他/她)這份工作收入是用什麼方式領的 (4) 按件計酬,a32c04/(他/她)這份工作收入是按件計酬?,,V
(他/她)這份工作收入是按件計酬?,,,,A31A05/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是否按件計酬,,,a32c04/(他/她)這份工作收入是按件計酬?,,V
(他/她)這份工作收入是用什麼方式領的 (4) 按件計酬,,,,A31A07/(他/她)這份工作收入是有其他來源?,a25a07/(他/她)這份工作收入是按件計酬?,a25a07/(他/她)這份工作收入是否按件計酬,a25c04/(他/她)這份工作收入是按件計酬?,a25c04/(他/她)這份工作收入是用什麼方式領的 (4) 按件計酬,a32c04/(他/她)這份工作收入是按件計酬?,,V
(他/她)這份工作收入是有其他來源，每月平均約__元,,,,A31A08/(他/她)這份工作收入是有其他來源，每月平均約__元,a25a10/(他/她)這份工作收入是有其他來源，每月平均約__元,,,,,,
(他/她)這份工作平均每個月的總收入大約有多少?,,,,A31B/(他/她)這份工作平均每個月的總收入大約有多少?,a25b/(他/她)這份工作平均每個月的總收入大約有多少?,a25b/(他/她)這份工作平均每個月的總收入大約有多少?,a25b/(他/她)這份工作平均每個月的總收入大約有多少?,a25b/(他/她)這份工作平均每個月的總收入大約有多少?,a32b/(他/她)這份工作平均每個月的總收入大約有多少?,,
請問下列哪一種方式領取的收入最多,,,,A31B/(他/她)這份工作平均每個月的總收入大約有多少?,a25b/(他/她)這份工作平均每個月的總收入大約有多少?,a25b/(他/她)這份工作平均每個月的總收入大約有多少?,a25d/請問下列哪一種方式領取的收入最多?,a25d/請問下列哪一種方式領取的收入最多,a32d/請問下列哪一種方式領取的收入最多?,,
請問(他/她)沒有工作的原因是什麼?,,,,A33/請問(他/她)沒有工作的原因是什麼?,a27/請問(他/她)目前沒有工作的原因是什麼?,a27/請問(他/她)目前沒有工作的原因是什麼?,a27/請問(他/她)目前沒有工作的原因是什麼?,,,,
(他/她)最主要用什麼方法找尋工作?,,,,A34B/(他/她)最主要用什麼方式找尋工作?,a28c/(他/她)最主要用什麼方法找尋工作?,a28c/(他/她)最主要用什麼方法找尋工作?,a28c/(他/她)最主要用什麼方法找尋工作?,a28b/(他/她)最主要用什麼方法找尋工作,,,
請問您在未來有沒有移民到台灣以外地區的打算?,,,,B01/請問您在未來有沒有移民到台灣以外地區的打算?,b01/請問您在未來有沒有移民到台灣以外地區的打算?,b01/請問您在未來有沒有移民到台灣以外地區的打算?,b01/請問您在未來有沒有移民到台灣以外地區的打算?,b01/請問您在未來有沒有移民到台灣以外地區的打算,,,
您的父母或配偶父母有沒有定居在台灣以外地區?,,,,B03Z01/您的父母或配偶父母有沒有定居在台灣以外地區?,b03z01/您的父母或配偶父母有沒有定居在台灣以外地區,b03z01/您有沒有父母或配偶父母定居在台灣以外地區?,b03z01/您的父母或配偶父母有沒有定居在台灣以外地區?,,,,
您的子女有沒有定居在台灣以外地區?,,,,B03Z02/您的子女有沒有定居在台灣以外地區?,b03z02/您的子女或子女的配偶有沒有定居在台灣以外地區,b03z02/您有沒有子女或子女的配偶定居在台灣以外地區?,b03z02/您的子女或子女的配偶有沒有定居在台灣以外地區?,,,,
您有沒有以下的親人定居在台灣以外地區 (3) 兄弟姊妹或配偶的兄弟姊妹,,,,B03Z03/您的兄弟姊妹或配偶的兄弟姊妹有沒有定居在台灣以外地區?,b03z03/您的兄弟姊妹或配偶的兄弟姊妹有沒有定居在台灣以外地區,b03z03/您有沒有兄弟姊妹或配偶的兄弟姊妹定居在台灣以外地區?,b03z03/您的兄弟姊妹或配偶的兄弟姊妹有沒有定居在台灣以外地區?,b03z03/您有沒有以下的親人定居在台灣以外地區 (3) 兄弟姊妹或配偶的兄弟姊妹,b03z03/您有沒有以下的親人定居在台灣以外地區?(請唸出小題) 3 兄弟姊妹或配偶的兄弟姊妹,,
您有沒有以下的親人定居在台灣以外地區?(請唸出小題) 4 配偶,,,,B03Z04/您的其他親人有沒有定居在台灣以外地區?,b03z04/您的其他親人有沒有定居在台灣以外地區,b03z04/您有沒有其他親人定居在台灣以外地區?,b03z04/您的其他親人有沒有定居在台灣以外地區?,b03z04/您有沒有以下的親人定居在台灣以外地區 (4) 配偶,b03z04/您有沒有以下的親人定居在台灣以外地區?(請唸出小題) 4 配偶,,
您的其他親人有沒有定居在台灣以外地區?,,,,B03Z04/您的其他親人有沒有定居在台灣以外地區?,b03z04/您的其他親人有沒有定居在台灣以外地區,b03z04/您有沒有其他親人定居在台灣以外地區?,b03z04/您的其他親人有沒有定居在台灣以外地區?,,,,V
請問100年1月之後您的配偶有沒有新的工作機會或工作變動的機會,,,,B05A/請問去年(民國94年1月)之後您有沒有新的工作機會或工作變動的機會?,b05a/請問去年(95年1月)之後您有沒有新的工作機會或工作變動的機會?,b05a/請問96年1月之後您有沒有新的工作機會或工作變動的機會?,b05a/請問97年1月之後您有沒有新的工作機會或工作變動的機會?,b05d/請問100年1月之後您的配偶有沒有新的工作機會或工作變動的機會,b12d/請問上一次訪問之後您的配偶有沒有新的工作機會或工作變動的機會?,b10d/請問上一次訪問之後，您配偶/同居伴侶有沒有新的工作機會或工作變動的機會?,
請問新的工作機會需要搬遷或個人遷移到外地嗎?,,,,B05B/請問新的工作機會需要搬遷或個人遷移到外地嗎?,b05b/請問新的工作機會需要搬遷或個人遷移到外地嗎?,b05b/請問新的工作機會需要搬遷或個人遷移到外地嗎?,b05b/請問新的工作機會需要搬遷或個人遷移到外地嗎?,,,,
請問您有接受這個新的工作機會嗎?,,,,B05C/請問您有接受這個新的工作機會嗎?,b05c/請問您有接受這個新的工作機會嗎?,b05c/請問您有接受這個新的工作機會嗎?,b05c/請問您有接受這個新的工作機會嗎?,b05c/請問您有接受這個新的工作機會嗎,,b10c/請問您有接受這個新的工作機會嗎?,V
房間數多少__房,,,,B08D01/房間數多少__房,,,,b08e01/房間數多少 __房,,,
就您所知，您目前所居住的房子一坪多少元?__元/坪,,,,B09/就您所知，您目前所居住的房子一坪多少元?__元/坪,b09/就您所知，您目前所居住的房子一坪多少元?,b09/就您所知，您目前所居住的房子一坪多少元?,b09/就您所知，您目前所居住的房子一坪多少元?,b09/就您所知，您目前所居住的房子一坪多少元,b07/就您所知，您目前所居住的房子一坪多少元?,,
子女1排行,,,,B13AC1/子女1:排行,,b13ac1/子女1排行,,,b14ac1/子女1排行,,
子女2排行,,,,B13AC2/子女2:排行,,b13ac2/子女2排行,,,b14ac2/子女2排行,,
子女1:性別,,,,B13BC1/子女1:性別,,b13bc1/子女1性別,,b13bc1/子女1性別,b14bc1/子女1性別,,
子女2性別,,,,B13BC2/子女2:性別,,b13bc2/子女2性別,,,b14bc2/子女2性別,,
子女3性別,,,,B13BC3/子女3:性別,,b13bc3/子女3性別,,,b14bc3/子女3性別,,
子女1出生年,,,,B13C01C1/子女1:出生年__,,b13c01c1/子女1出生年,,,b14c01c1/子女1出生年,,
子女1出生月,,,,B13C02C1/子女1:出生月__,,b13c02c1/子女1出生月,,,b14c02c1/子女1出生月,,
子女2出生月,,,,B13C02C2/子女2:出生月__,,b13c02c2/子女2出生月,,,b14c02c2/子女2出生月,,
子女3出生月,,,,B13C02C3/子女3:出生月__,,b13c02c3/子女3出生月,,,b14c02c3/子女3出生月,,V
子女2教育程度,,,,B13DC2/子女2:如果未滿六歲(民國89年1月以後出生)，白天主要是由誰照顧?,,b13dc2/子女2教育程度,,,b14dc2/子女2教育程度,,
子女3教育程度,,,,B13DC3/子女3:如果未滿六歲(民國89年1月以後出生)，白天主要是由誰照顧?,,b13dc3/子女3教育程度,,,b14dc3/子女3教育程度,,
子女1目前有沒有工作?,,,,B13EC1/子女1：您平均一天大約有多少時間和子女相處?,,b13ec1/子女1目前有沒有工作?,,,b14ec1/子女1學校類別,,V
子女2目前有沒有工作?,,,,B13EC2/子女2：您平均一天大約有多少時間和子女相處?,,b13ec2/子女2目前有沒有工作?,,,b14ec2/子女2學校類別,,V
母親去年到現在有否改變住處?,,,,B13GM1/母親去年到現在有否改變住處?,b14fm1/母親去年到現在有否改變住處?,,,,,,
配偶父親住處與您距離多遠?,,,,B13HF2/配偶父親住處與您距離多遠?,b14gf2/配偶父親住處與您的距離多遠?,,,,,b20bf2/您配偶父親目前住處與您的距離多遠?,
母親住處與您距離多遠?,,,,B13HM1/母親住處與您距離多遠?,b14gm1/母親住處與您的距離多遠?,b17b/請問您母親的住處與您的距離多遠?,b17c/請問您母親目前的住處與您的距離多遠?,,,b15bm1/請問您的母親目前住處與您的距離多遠?,
配偶母親住處與您距離多遠?,,,,B13HM2/配偶母親住處與您距離多遠?,b14gm2/配偶母親住處與您的距離多遠?,b21b/請問您配偶母親的住處與您的距離多遠?,b21c/請問您配偶母親目前的住處與您的距離多遠?,,,b20bm2/您配偶母親目前住處與您的距離多遠?,
子女1去年見面次數?,,,,B13JC1/子女1:去年與您的聯絡狀況每年見面次數?,,b13ic1/子女1去年見面次數?,,,b14jc1/子女1最主要的照顧者?,,
子女2去年見面次數?,,,,B13JC2/子女2:去年與您的聯絡狀況每年見面次數?,,b13ic2/子女2去年見面次數?,,,b14jc2/子女2最主要的照顧者?,,
請問您的父親有沒有與他的兄弟姊妹同住?,,,,B14D06/請問您的父親有沒有與他的兄弟姊妹同住?,,,,,b20b06f1/請問您的父親平常與他的兄弟姊妹同住?,b15a06f1/請問您的父親平常與他的兄弟姊妹同住?,
請問您的父親有沒有與他的其他親戚同住?,,,,B14D07/請問您的父親有沒有與他的其他親戚同住?,,,,,b20b07f1/請問您的父親平常與他的其他親戚同住?,b15a07f1/請問您的父親平常與他的其他親戚同住?,
請問您的父親有沒有輪流住他的子女家?,,,,B14D08/請問您的父親有沒有輪流住他的子女家?,b15d08/請問您的父親平常有沒有輪流住他的子女家?,,b16a08/請問您的父親平常是否輪流住他的子女家?,,b20b08f1/請問您的父親平常輪流住他的子女家?,b15a08f1/請問您的父親平常輪流住他的子女家?,
請問您的父親有沒有獨居?,,,,B14D09/請問您的父親有沒有獨居?,b15d09/請問您的父親平常有沒有獨居?,b15d09/請問您的父親平常是否獨居,b17a09/請問您的母親平常是否獨居?,,b20b09m1/請問您的母親平常獨居?,b15a09m1/請問您的母親平常獨居?,V
請問您的父親有沒有住安養機構?,,,,B14D10/請問您的父親有沒有住安養機構?,b15d10/請問您的父親平常有沒有住安養機構?,b15d10/請問您的父親平常是否住在安養機構,b17a10/請問您的母親平常是否住安養機構?,,b20b10m1/請問您的母親平常住安養機構?,b15a10m1/請問您的母親平常住安養機構?,V
請問您的父親有沒有與其他人同住?,,,,B14D13/請問您的父親有沒有與其他人同住?,b15d13/請問您的父親平常有沒有與其他人同住?,b15d13/請問您的父親平常是否與其他人同住,b16a13/請問您的父親平常是否與其他人同住?,,b20b19f1/請問您的父親平常與其他人同住?,b15a19f1/請問您的父親平常與其他人同住?,
請問您的母親有沒有與她的兄弟姊妹同住?,,,,B14E06/請問您的母親有沒有與她的兄弟姊妹同住?,,,b17a06/請問您的母親平常是否與她的兄弟姊妹同住?,,b20b06m1/請問您的母親平常與她的兄弟姊妹同住?,b15a06m1/請問您的母親平常與她的兄弟姊妹同住?,
請問您的母親有沒有與她的其他親戚同住?,,,,B14E07/請問您的母親有沒有與她的其他親戚同住?,b15e07/請問您的母親平常有沒有與他的其他親戚同住?,b15e07/請問您的母親平常是否與她的其他親戚同住,b17a07/請問您的母親平常是否與她的其他親戚同住?,,b20b07m1/請問您的母親平常與她的其他親戚同住?,b15a07m1/請問您的母親平常與她的其他親戚同住?,
請問您的母親有沒有與其他人同住?,,,,B14E13/請問您的母親有沒有與其他人同住?,b15e13/請問您的母親平常有沒有與其他人同住?,b15e13/請問您的母親平常是否與其他人同住,b17a13/請問您的母親平常是否與其他人同住?,,b20b19m1/請問您的母親平常與其他人同住?,b15a19m1/請問您的母親平常與其他人同住?,
請問過去一年來，您配偶的父母有沒有給您(或您配偶)一般生活費上的資助?,,,,B15A01/請問過去一年來，您配偶的父母有沒有給您(或您配偶)一般生活費上的資助?,b16a01/請問過去一年來，您配偶的父母有沒有給您(或您配偶)一般生活費上的資助?,b19a01/請問過去一年來，您配偶的父母有沒有給您(或您配偶)一般生活費上的資助?,,,,,
請問過去一年來，您(或您配偶)有沒有給您配偶父母零用金、生活費或節慶紅包?,,,,B15B01/請問過去一年來，您(或您配偶)有沒有給您配偶父母零用金，生活費或節慶紅包?,b16b01/請問過去一年來，您(或您配偶)有沒有給您配偶父母零用金，生活費或節慶紅包?,b19b01/請問過去一年來，您(或您配偶)有沒有給您配偶父母零用金、生活費或節慶紅包?,,,,,
在去年之中，請問您配偶的父母是否有退休金的收入來源?,,,,B15C01/在去年(94年)之中，請問您的父母是否有退休金的收入來源?,b16c01/在去年之中，請問您配偶的父母是否有退休金的收入來源?,,,,,,V
請問您配偶的父親平常是否與他的配偶同住,,,,B15D01/請問您的配偶父親有沒有與他的配偶同住同住?,b16d01/請問您配偶的父親平常有沒有與他的配偶同住?,b19d01/請問您配偶的父親平常是否與他的配偶同住,,,,,
請問您配偶的父親平常是否與他的已婚兒子同住,,,,B15D02/請問您的配偶父親有沒有與他的已婚兒子同住?,b16d02/請問您配偶的父親平常有沒有與他的已婚兒子同住?,b19d02/請問您配偶的父親平常是否與他的已婚兒子同住,,,,,
請問您配偶的父親平常是否與他的已婚女兒同住,,,,B15D03/請問您的配偶父親有沒有與他的已婚女兒同住?,b16d03/請問您配偶的父親平常有沒有與他的已婚女兒同住?,b19d03/請問您配偶的父親平常是否與他的已婚女兒同住,,,,,
請問您配偶的父親平常是否與他的未婚女兒同住,,,,B15D05/請問您的配偶父親有沒有與他的未婚女兒同住?,b16d05/請問您配偶的父親平常有沒有與他的未婚女兒同住?,b19d05/請問您配偶的父親平常是否與他的未婚女兒同住,,,,,
請問您配偶的父親平常有沒有與他的兄弟姊妹同住?,,,,B15D06/請問您的配偶父親有沒有與他的兄弟姊妹同住?,b16d06/請問您配偶的父親平常有沒有與他的兄弟姊妹同住?,,,,,,
請問您配偶的父親平常是否與他的其他親戚同住,,,,B15D07/請問您的配偶父親有沒有與他的其他親戚同住?,b16d07/請問您配偶的父親平常有沒有與他的其他親戚同住?,b19d07/請問您配偶的父親平常是否與他的其他親戚同住,,,,,
請問您配偶的父親平常是否輪流住他的子女家,,,,B15D08/請問您的配偶父親有沒有輪流住他的子女家?,b16d08/請問您配偶的父親平常有沒有輪流住他的子女家?,b19d08/請問您配偶的父親平常是否輪流住他的子女家,,,,,
請問您配偶的父親平常是否獨居?,,,,B15D09/請問您的配偶父親有沒有獨居?,b16d09/請問您配偶的父親平常有沒有獨居?,b19d09/請問您配偶的父親平常是否獨居,b20a09/請問您配偶的父親平常是否獨居?,,b23c09f2/請問您的配偶父親平常獨居?,b20a09f2/請問您的配偶父親平常獨居?,V
請問您的配偶父親平常獨居?,,,,B15D09/請問您的配偶父親有沒有獨居?,b16d09/請問您配偶的父親平常有沒有獨居?,b19d09/請問您配偶的父親平常是否獨居,b21a09/請問您配偶的母親平常是否獨居?,,b23c09f2/請問您的配偶父親平常獨居?,b20a09f2/請問您的配偶父親平常獨居?,V
請問您的配偶父親有沒有獨居?,,,,B15D09/請問您的配偶父親有沒有獨居?,b16d09/請問您配偶的父親平常有沒有獨居?,b19d09/請問您配偶的父親平常是否獨居,b21a09/請問您配偶的母親平常是否獨居?,,b23c09f2/請問您的配偶父親平常獨居?,b20a09f2/請問您的配偶父親平常獨居?,V
請問您配偶的父親平常是否獨居,,,,B15D09/請問您的配偶父親有沒有獨居?,b16d09/請問您配偶的父親平常有沒有獨居?,b19d09/請問您配偶的父親平常是否獨居,,,,,V
請問您配偶的父親平常有沒有獨居?,,,,B15D09/請問您的配偶父親有沒有獨居?,b16d09/請問您配偶的父親平常有沒有獨居?,,,,,,V
請問您配偶的父親平常是否住安養機構?,,,,B15D10/請問您的配偶父親有沒有住安養機構?,b16d10/請問您配偶的父親平常有沒有住安養機構?,b19d10/請問您配偶的父親平常是否住在安養機構,b20a10/請問您配偶的父親平常是否住安養機構?,,b23c10f2/請問您的配偶父親平常住安養機構?,b20a10f2/請問您的配偶父親平常住安養機構?,V
請問您的配偶父親平常住安養機構?,,,,B15D10/請問您的配偶父親有沒有住安養機構?,b16d10/請問您配偶的父親平常有沒有住安養機構?,b19d10/請問您配偶的父親平常是否住在安養機構,b21a10/請問您配偶的母親平常是否住安養機構?,,b23c10f2/請問您的配偶父親平常住安養機構?,b20a10f2/請問您的配偶父親平常住安養機構?,V
請問您配偶的父親平常是否住在安養機構,,,,B15D10/請問您的配偶父親有沒有住安養機構?,b16d10/請問您配偶的父親平常有沒有住安養機構?,b19d10/請問您配偶的父親平常是否住在安養機構,,,,,V
請問您配偶的父親平常有沒有住安養機構?,,,,B15D10/請問您的配偶父親有沒有住安養機構?,b16d10/請問您配偶的父親平常有沒有住安養機構?,,,,,,V
請問您的配偶父親有沒有與其他人同住?,,,,B15D13/請問您的配偶父親有沒有與其他人同住?,b16d13/請問您配偶的父親平常有沒有與其他人同住?,b19d13/請問您配偶的父親平常是否與其他人同住,b20a13/請問您配偶的父親平常是否與其他人同住?,,b23c19f2/請問您的配偶父親平常與其他人同住?,b20a19f2/請問您的配偶父親平常與其他人同住?,
請問您配偶的母親平常有沒有與他的配偶同住?,,,,B15E01/請問您的配偶母親有沒有與她的配偶同住同住?,b16e01/請問您配偶的母親平常有沒有與他的配偶同住?,,,,,,
請問您配偶的母親平常有沒有與他的已婚兒子同住?,,,,B15E02/請問您的配偶母親有沒有與她的已婚兒子同住?,b16e02/請問您配偶的母親平常有沒有與他的已婚兒子同住?,,,,,,
請問您配偶的母親平常有沒有與他的已婚女兒同住?,,,,B15E03/請問您的配偶母親有沒有與她的已婚女兒同住?,b16e03/請問您配偶的母親平常有沒有與他的已婚女兒同住?,,,,,,
請問您配偶的母親平常是否與她的未婚兒子同住,,,,B15E04/請問您的配偶母親有沒有與她的未婚兒子同住?,b16e04/請問您配偶的母親平常有沒有與他的未婚兒子同住?,b19e04/請問您配偶的母親平常是否與她的未婚兒子同住,,,,,
請問您配偶的母親平常有沒有與他的未婚女兒同住?,,,,B15E05/請問您的配偶母親有沒有與她的未婚女兒同住?,b16e05/請問您配偶的母親平常有沒有與他的未婚女兒同住?,,,,,,
請問您的配偶母親有沒有與她的兄弟姊妹同住?,,,,B15E06/請問您的配偶母親有沒有與她的兄弟姊妹同住?,,,b21a06/請問您配偶的母親平常是否與她的兄弟姊妹同住?,,b23c06m2/請問您的配偶母親平常與她的兄弟姊妹同住?,b20a06m2/請問您的配偶母親平常與她的兄弟姊妹同住?,
請問您的配偶母親有沒有與她的其他親戚同住?,,,,B15E07/請問您的配偶母親有沒有與她的其他親戚同住?,b16e07/請問您配偶的母親平常有沒有與他的其他親戚同住?,b19e07/請問您配偶的母親平常是否與她的其他親戚同住,b21a07/請問您配偶的母親平常是否與她的其他親戚同住?,,b23c07m2/請問您的配偶母親平常與她的其他親戚同住?,b20a07m2/請問您的配偶母親平常與她的其他親戚同住?,
請問您配偶的母親平常有沒有輪流住他的子女家?,,,,B15E08/請問您的配偶母親有沒有輪流住她的子女家?,b16e08/請問您配偶的母親平常有沒有輪流住他的子女家?,,,,,,
請問您的配偶母親有沒有獨居?,,,,B15E09/請問您的配偶母親有沒有獨居?,b16e09/請問您配偶的母親平常有沒有獨居?,b19e09/請問您配偶的母親平常是否獨居,b21a09/請問您配偶的母親平常是否獨居?,,b23c09m2/請問您的配偶母親平常獨居?,b20a09m2/請問您的配偶母親平常獨居?,V
請問您配偶的母親平常有沒有住安養機構?,,,,B15E10/請問您的配偶母親有沒有住安養機構?,b16e10/請問您配偶的母親平常有沒有住安養機構?,,,,,,
請問您配偶的母親平常有沒有與已婚孫子女同住?,,,,B15E11/請問您的配偶母親有沒有與已婚孫子女同住?,b16e11/請問您配偶的母親平常有沒有與已婚孫子女同住?,,,,,,
請問您配偶的母親平常有沒有與已婚外孫子女同住?,,,,B15E12/請問您的配偶母親有沒有與已婚外孫子女同住?,b16e12/請問您配偶的母親平常有沒有與已婚外孫子女同住?,,,,,,
請問您配偶的母親平常有沒有與其他人同住?,,,,B15E13/請問您的配偶母親有沒有與其他人同住?,b16e13/請問您配偶的母親平常有沒有與其他人同住?,,,,,,
在去年(94年)之中，如果您的配偶有工作的話，全部的工作收入大約有多少(包括正常的收入，加班費，分紅，佣金，三節獎金，年終獎金等)?,,,,C03B01/在去年(94年)之中，如果您的配偶有工作的話，全部的工作收入大約有多少(包括正常的收入，加班費，分紅，佣金，三節獎金，年終獎金等)?,,c03b01/在去年(96年)之中，如果您的配偶有工作的話，全部的工作收入大約有多少(包括正常的收入、加班費、分紅、佣金、三節獎金、年終獎金等)?,,,,,
在去年(95年)之中，您按月領取退休金，每月__元,,,,C04A02/請問在去年(94年)之中，您按月領取退休金，每月__元,d04a02/在去年(95年)之中，您按月領取退休金，每月__元,c04a02/在去年(96年)之中，您按月領取退休金，每月__元,,,,,
您配偶的退休金若按月領取，每月__元,,,,C04A02/請問在去年(94年)之中，您按月領取退休金，每月__元,,,,,,c11a02/您配偶的退休金若按月領取，每月__元,V
您退休金若按年領取，每年__元,,,,C04A03/請問在去年(94年)之中，您按年領取退休金，每年__元,,c04a03/在去年(96年)之中，您按年領取退休金，每年__元,,,c04a03/您領取退休金的方式?按年領取，每年____元,c09d03/您退休金若按年領取，每年__元,
您退休金若每年分數次，總共__元,,,,C04A05/請問在去年(94年)之中，您分數次領去退休金，總共__元,,c04a05/在去年(96年)之中，您每年分數次退休金，總共__元,,,c04a05/您領取退休金的方式?每年分數次，總共____元,c09d05/您退休金若每年分數次，總共__元,
您退休金若按月領取，去年(106年)共領__個月,,,,C04B01/請問您的配偶是否辦理過退休?若有，請問在去年(94年)之中，您的配偶是否曾經領取退休金?,,c04b01/在去年(96年)之中，您的配偶是否曾經領取退休金?,,,c04b01/在去年之中，您配偶是否曾經領取退休金?(1999及2000抽樣樣本作答),c09d07/您退休金若按月領取，去年(106年)共領__個月,V
您退休金若先領一部份，然後再按月領取，去年共領__元,,,,C04B02/請問在去年(94年)之中，您的配偶按月領取退休金，每月__元,,c04b02/在去年(96年)之中，您的配偶按月領取退休金，每月__元,,,c04b06/您配偶領取退休金的方式?先領一部分，然後再按月領取，去年總共領取____元,c09d06/您退休金若先領一部份，然後再按月領取，去年共領__元,V
請問您的配偶是什麼時候辦退休的?退休月,,,,C04B02/請問在去年(94年)之中，您的配偶按月領取退休金，每月__元,,,,,,c11b02/請問您的配偶是什麼時候辦退休的?退休月,V
除了上面所談到的這些收入之外，您或您的配偶是否有利息收入?,,,,C05Z01/除了上面所談到的這些收入之外，您或您的配偶是否有利息收入?,d05z01/除了上面所談到的這些收入之外，您或您的配偶是否有利息收入?,c05z01/除了上面所談到的這些收入之外，您或您的配偶是否有利息收入,c05z01/除了上面所談到的這些收入之外，您或您的配偶是否有利息收入?,,c05z01/除了上面所談到的這些收入之外，您或您的配偶是否有下列這些收入? 1 利息收入,c14z01/除了上面所談到的這些收入之外，您或您的配偶是否有利息收入?,
除了上面所談到的這些收入之外，您或您的配偶去年的利息收入大約__元,,,,C05Z02/除了上面所談到的這些收入之外，您或您的配偶去年的利息收入大約__元,d05z02/除了上面所談到的這些收入之外，您或您的配偶去年的利息收入大約__元,c05z02/若有利息收入，去年的收入大約__元,c05z02/若有利息收入，去年的收入大約__元,,,c14z02/您或您的配偶有利息收入，去年的收入大約__元,
除了上面所談到的這些收入之外，您或您的配偶是否有租金收入?,,,,C05Z03/除了上面所談到的這些收入之外，您或您的配偶是否有租金收入?,d05z03/除了上面所談到的這些收入之外，您或您的配偶是否有租金收入?,c05z03/除了上面所談到的這些收入之外，您或您的配偶是否有租金收入,c05z03/除了上面所談到的這些收入之外，您或您的配偶是否有租金收入?,,c05z03/除了上面所談到的這些收入之外，您或您的配偶是否有下列這些收入? 2 租金收入,c14z03/除了上面所談到的這些收入之外，您或您的配偶是否有租金收入?,
除了上面所談到的這些收入之外，您或您的配偶去年的租金收入大約__元,,,,C05Z04/除了上面所談到的這些收入之外，您或您的配偶去年的租金收入大約__元,d05z04/除了上面所談到的這些收入之外，您或您的配偶去年的租金收入大約__元,c05z04/若有租金收入，去年的收入大約__元,c05z04/若有租金收入，去年的收入大約__元,,c05z04/除了上面所談到的這些收入之外，您或您的配偶是否有下列這些收入? 2 租金收入 ____元,c14z04/若您或您的配偶有租金收入，去年的收入大約__元,
除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,,,,C05Z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,d05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,c05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入,c05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,,,c14z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,
除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,,,,C05Z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,d05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,c05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入,c05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,,,c14z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,V
除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,,,,C05Z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,d05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,c05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入,c05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,,,,V
除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,,,,C05Z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,d05z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,c05z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源,c05z05/除了上面所談到的這些收入之外，您或您的配偶是否有股利收入?,,,c14z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,V
除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,,,,C05Z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,d05z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,c05z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源,c05z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,,c05z07/除了上面所談到的這些收入之外，您或您的配偶是否有下列這些收入? 4 其他收入來源(含私人贈與及政府補助),c14z07/除了上面所談到的這些收入之外，您或您的配偶是否有其他收入來源?,V
